Time (seconds),light,sound,temp,movement
147.80,,,22,
147.90,,,,1055
148.02,0,,,
148.18,,82,,
148.28,,,22,
148.38,,,,1082
148.50,0,,,
148.66,,78,,
148.76,,,22,
148.86,,,,1082
148.98,0,,,
149.14,,60,,
149.24,,,22,
149.34,,,,1074
149.46,0,,,
149.63,,131,,
149.73,,,22,
149.83,,,,1064
149.95,0,,,
150.11,,105,,
150.21,,,22,
150.31,,,,1052
150.44,0,,,
150.60,,90,,
150.70,,,22,
150.80,,,,1064
150.92,0,,,
151.08,,93,,
151.18,,,22,
151.28,,,,1061
151.40,0,,,
151.56,,60,,
151.66,,,22,
151.76,,,,1035
151.88,0,,,
152.05,,90,,
152.15,,,22,
152.25,,,,1065
152.37,0,,,
152.53,,82,,
152.63,,,22,
152.73,,,,1069
152.86,0,,,
153.01,,48,,
153.12,,,22,
153.22,,,,1072
153.34,0,,,
153.50,,78,,
153.60,,,22,
153.70,,,,1053
153.82,0,,,
153.98,,101,,
154.08,,,22,
154.18,,,,999
154.30,0,,,
154.47,,71,,
154.57,,,22,
154.67,,,,1044
154.79,0,,,
154.95,,101,,
155.05,,,22,
155.15,,,,1061
155.27,0,,,
155.43,,90,,
155.54,,,22,
155.64,,,,1078
155.76,0,,,
155.92,,67,,
156.02,,,22,
156.12,,,,1059
156.24,0,,,
156.40,,101,,
156.50,,,22,
156.60,,,,1073
156.72,0,,,
156.89,,153,,
156.99,,,22,
157.09,,,,1061
157.21,0,,,
157.37,,63,,
157.47,,,22,
157.57,,,,1063
157.69,0,,,
157.85,,90,,
157.96,,,22,
158.06,,,,1076
158.18,0,,,
158.34,,75,,
158.44,,,22,
158.54,,,,1063
158.66,0,,,
158.82,,33,,
158.92,,,22,
159.02,,,,1066
159.15,0,,,
159.30,,37,,
159.41,,,22,
159.51,,,,1056
159.63,0,,,
159.79,,30,,
159.89,,,22,
159.99,,,,1062
160.11,0,,,
160.27,,48,,
160.38,,,22,
160.48,,,,1065
160.60,0,,,
160.76,,71,,
160.86,,,22,
160.96,,,,1068
161.08,0,,,
161.24,,60,,
161.34,,,22,
161.44,,,,1074
161.56,0,,,
161.72,,56,,
161.82,,,22,
161.92,,,,1067
162.04,0,,,
162.21,,71,,
162.31,,,22,
162.41,,,,1068
162.53,0,,,
162.69,,33,,
162.79,,,22,
162.89,,,,1064
163.01,0,,,
163.17,,71,,
163.28,,,22,
163.38,,,,1077
163.50,0,,,
163.66,,30,,
163.76,,,22,
163.86,,,,1050
163.98,0,,,
164.14,,86,,
164.24,,,22,
164.34,,,,1058
164.47,0,,,
164.63,,90,,
164.73,,,22,
164.83,,,,1059
164.95,0,,,
165.11,,86,,
165.21,,,22,
165.31,,,,1060
165.43,0,,,
165.59,,33,,
165.70,,,22,
165.80,,,,1064
165.92,0,,,
166.08,,63,,
166.18,,,22,
166.28,,,,1065
166.40,0,,,
166.56,,75,,
166.66,,,22,
166.76,,,,1053
166.88,0,,,
167.05,,82,,
167.15,,,22,
167.25,,,,1076
167.37,0,,,
167.53,,52,,
167.63,,,22,
167.73,,,,1061
167.85,0,,,
168.01,,105,,
168.12,,,22,
168.22,,,,1057
168.34,0,,,
168.50,,78,,
168.60,,,22,
168.70,,,,1064
168.82,0,,,
168.98,,101,,
169.08,,,22,
169.18,,,,1091
169.31,0,,,
169.46,,33,,
169.57,,,22,
169.67,,,,1071
169.79,0,,,
169.95,,48,,
170.05,,,22,
170.15,,,,1060
170.27,0,,,
170.43,,78,,
170.54,,,22,
170.64,,,,1065
170.76,0,,,
170.92,,78,,
171.02,,,22,
171.12,,,,1072
171.24,0,,,
171.40,,82,,
171.50,,,22,
171.60,,,,1071
171.73,0,,,
171.88,,116,,
171.99,,,22,
172.09,,,,1060
172.21,0,,,
172.37,,127,,
172.47,,,22,
172.57,,,,1064
172.69,0,,,
172.85,,71,,
172.96,,,22,
173.06,,,,1061
173.18,0,,,
173.34,,116,,
173.44,,,22,
173.54,,,,1076
173.66,0,,,
173.82,,60,,
173.92,,,22,
174.02,,,,1064
174.14,0,,,
174.30,,86,,
174.40,,,22,
174.50,,,,1058
174.62,0,,,
174.79,,78,,
174.89,,,22,
174.99,,,,1072
175.11,0,,,
175.27,,78,,
175.37,,,22,
175.47,,,,1074
175.59,0,,,
175.75,,90,,
175.86,,,22,
175.96,,,,1059
176.08,0,,,
176.24,,86,,
176.34,,,22,
176.44,,,,1065
176.56,0,,,
176.72,,60,,
176.82,,,22,
176.92,,,,1056
177.04,0,,,
177.21,,82,,
177.31,,,22,
177.41,,,,1066
177.53,0,,,
177.69,,67,,
177.79,,,22,
177.89,,,,1068
178.01,0,,,
178.17,,52,,
178.28,,,22,
178.38,,,,1078
178.50,0,,,
178.66,,71,,
178.76,,,22,
178.86,,,,1065
178.98,0,,,
179.14,,82,,
179.24,,,22,
179.34,,,,1063
179.46,0,,,
179.63,,75,,
179.73,,,22,
179.83,,,,1060
179.95,0,,,
180.11,,97,,
180.21,,,22,
180.31,,,,1064
180.43,0,,,
180.59,,63,,
180.70,,,22,
180.80,,,,1071
180.92,0,,,
181.08,,22,,
181.18,,,22,
181.28,,,,1060
181.40,0,,,
181.56,,75,,
181.66,,,22,
181.76,,,,1063
181.89,0,,,
182.04,,67,,
182.15,,,22,
182.25,,,,1068
182.37,0,,,
182.53,,33,,
182.63,,,22,
182.73,,,,1072
182.85,0,,,
183.01,,7,,
183.12,,,22,
183.22,,,,1085
183.34,0,,,
183.50,,63,,
183.60,,,22,
183.70,,,,1059
183.82,0,,,
183.98,,75,,
184.08,,,22,
184.18,,,,1064
184.31,0,,,
184.46,,101,,
184.57,,,22,
184.67,,,,1074
184.79,0,,,
184.95,,97,,
185.05,,,22,
185.15,,,,1077
185.27,0,,,
185.43,,41,,
185.53,,,22,
185.63,,,,1063
185.75,0,,,
185.92,,97,,
186.02,,,22,
186.12,,,,1059
186.24,0,,,
186.40,,48,,
186.50,,,22,
186.60,,,,1063
186.72,0,,,
186.88,,45,,
186.98,,,22,
187.08,,,,1072
187.20,0,,,
187.37,,90,,
187.47,,,22,
187.57,,,,1067
187.69,0,,,
187.85,,15,,
187.95,,,22,
188.05,,,,1065
188.17,0,,,
188.33,,33,,
188.44,,,22,
188.54,,,,1057
188.66,0,,,
188.82,,33,,
188.92,,,22,
189.02,,,,1062
189.14,0,,,
189.30,,60,,
189.40,,,22,
189.50,,,,1067
189.62,0,,,
189.79,,63,,
189.89,,,22,
189.99,,,,1053
190.11,0,,,
190.27,,93,,
190.37,,,22,
190.47,,,,1055
190.60,0,,,
190.75,,67,,
190.86,,,22,
190.96,,,,1090
191.08,0,,,
191.24,,56,,
191.34,,,22,
191.44,,,,1075
191.56,0,,,
191.72,,33,,
191.82,,,22,
191.92,,,,1075
192.04,0,,,
192.21,,7,,
192.31,,,22,
192.41,,,,1085
192.53,0,,,
192.69,,22,,
192.79,,,22,
192.89,,,,1064
193.01,0,,,
193.17,,18,,
193.28,,,22,
193.38,,,,1039
193.50,0,,,
193.66,,41,,
193.76,,,22,
193.86,,,,1064
193.98,0,,,
194.14,,26,,
194.24,,,22,
194.34,,,,1063
194.46,0,,,
194.62,,11,,
194.73,,,22,
194.83,,,,1065
194.95,0,,,
195.11,,18,,
195.21,,,22,
195.31,,,,1092
195.43,0,,,
195.59,,11,,
195.70,,,22,
195.80,,,,1061
195.92,0,,,
196.08,,18,,
196.18,,,22,
196.28,,,,1066
196.40,0,,,
196.56,,7,,
196.66,,,22,
196.76,,,,1069
196.89,0,,,
